goal_id,player_id,match_id,minute_scored,is_penalty,is_own_goal
1,106,1,19',0,0
2,104,1,40',0,0
3,108,1,43',0,0
4,117,1,70',0,0
5,108,1,87',0,0
6,199,2,23',0,0
7,195,2,45',0,0
8,202,2,69',0,0
9,243,3,21',0,0
10,230,3,30',0,0
11,75,3,62',0,0
12,179,4,1',0,0
13,172,4,75',0,0
14,185,4,79',0,0
15,181,4,89',0,0
16,10,5,81',0,0
17,97,6,3',0,0
18,128,6,52',0,1
19,97,6,65',0,0
20,230,7,60',0,0
21,235,7,65',0,0
22,230,7,67',0,0
23,245,7,85',0,0
24,202,8,10',0,0
25,202,8,15',0,0
26,202,8,50',0,0
27,212,9,65',0,0
28,94,10,67',0,0
29,19,11,8',0,0
30,22,11,12',0,0
31,19,11,17',0,0
32,128,11,42',1,0
33,21,11,53',0,0
34,22,11,55',0,0
35,128,11,65',0,0
36,121,11,75',0,0
37,19,11,80',0,0
38,70,12,37',0,0
39,75,12,57',0,0
40,70,12,73',0,0
41,75,12,83',0,0
42,152,13,40',0,0
43,214,14,7',0,0
44,226,14,26',0,0
45,208,14,31',0,0
46,213,14,35',0,0
47,19,15,12',0,0
48,19,15,13',0,0
49,94,15,15',0,0
50,8,15,51',0,0
51,10,16,20',0,0
52,17,16,56',0,0
53,19,16,69',0,0
54,15,16,80',0,0
55,15,16,85',0,0
56,19,16,87',0,0
57,193,16,89',0,0
58,245,17,4',0,0
59,213,17,18',0,0
60,208,17,20',0,0
61,208,17,31',0,0
62,217,17,61',0,0
63,213,17,67',0,0
64,213,17,72',0,0
65,214,18,12',0,0
66,15,18,20',0,0
67,19,18,37',0,0
68,213,18,57',0,0
69,217,18,68',0,0
70,212,18,89',0,0
71,375,19,18',0,0
72,278,19,44',0,0
73,275,19,93',0,0
74,264,19,109',0,0
75,378,19,116',1,0
76,472,20,11',0,0
77,334,20,50',0,0
78,331,20,67',0,0
79,391,21,25',0,0
80,38,21,29',0,0
81,38,21,43',0,0
82,397,21,49',0,0
83,383,21,66',0,0
84,383,21,70',0,0
85,383,21,87',0,0
86,419,22,11',0,0
87,420,22,31',0,0
88,349,22,35',0,0
89,349,22,39',0,0
90,422,22,53',0,0
91,420,22,61',0,0
92,441,23,18',0,0
93,438,23,20',0,0
94,441,23,29',0,0
95,556,23,57',0,0
96,431,23,63',0,0
97,441,23,64',0,0
98,438,23,69',0,0
99,436,23,90',0,0
100,493,24,18',1,0
101,493,24,25',0,0
102,495,24,29',0,0
103,312,24,55',0,0
104,248,25,4',0,0
105,521,25,9',0,0
106,252,25,48',0,0
107,521,25,67',0,0
108,523,25,79',0,0
109,544,26,7',0,0
110,454,26,29',0,0
111,544,26,43',0,0
112,530,26,66',0,0
113,461,26,69',0,0
114,270,27,8',0,0
115,285,27,51',0,0
116,411,27,60',1,0
117,544,28,18',0,0
118,340,28,24',0,0
119,337,28,49',0,0
120,543,28,78',0,0
121,331,28,82',0,0
122,388,29,60',0,0
123,388,29,63',0,0
124,514,29,82',0,0
125,502,30,30',0,0
126,431,30,44',0,0
127,436,31,11',0,0
128,331,32,21',0,0
129,395,32,62',0,0
130,331,32,69',0,0
131,331,32,80',0,0
132,433,33,19',0,0
133,393,34,1',0,0
134,383,34,27',0,0
135,270,34,28',0,0
136,393,34,42',0,0
137,277,34,54',0,0
138,334,35,71',0,0
139,438,35,81',0,0
140,441,35,95',0,0
141,666,36,29',0,0
142,530,36,43',0,0
143,467,37,35',0,0
144,616,37,44',0,0
145,613,37,69',0,0
146,466,37,88',0,0
147,616,37,103',0,0
148,472,37,105',0,0
149,113,38,1',0,0
150,375,38,16',0,0
151,577,38,38',0,0
152,375,38,69',0,0
153,680,39,13',0,0
154,420,39,15',0,0
