match_id,tournament_id,stadium_id,home_team_id,away_team_id,home_team_goal,away_team_goal,round,referee_id
1,1,1,6,7,4,1,group stage,1
2,1,2,11,2,3,0,group stage,8
3,1,2,13,4,2,1,group stage,10
4,1,1,10,9,3,1,group stage,4
5,1,2,1,6,1,0,group stage,17
6,1,2,5,7,3,0,group stage,6
7,1,2,13,3,4,0,group stage,7
8,1,2,11,8,3,0,group stage,8
9,1,3,12,9,1,0,group stage,52
10,1,3,5,6,1,0,group stage,10
11,1,3,1,7,6,3,group stage,11
12,1,3,4,3,4,0,group stage,12
13,1,3,8,2,1,0,group stage,13
14,1,3,12,10,4,0,group stage,17
15,1,3,1,5,3,1,group stage,52
16,1,3,1,11,6,1,semi-finals,52
17,1,3,12,13,6,1,semi-finals,17
18,1,3,12,1,4,2,final,52
19,2,4,14,6,3,2,round of 16,19
20,2,5,15,10,2,1,round of 16,52
21,2,6,17,2,5,2,round of 16,27
22,2,7,18,16,4,2,round of 16,46
23,2,8,19,11,7,1,round of 16,31
24,2,9,21,4,3,1,round of 16,43
25,2,10,22,1,3,2,round of 16,25
26,2,11,23,20,3,2,round of 16,69
27,2,10,14,18,2,1,quarter-finals,27
28,2,4,15,23,3,2,quarter-finals,40
29,2,11,17,22,2,1,quarter-finals,46
30,2,6,19,21,1,1,quarter-finals,47
31,2,6,19,21,1,0,quarter-finals,31
32,2,8,15,17,3,1,semi-finals,46
33,2,11,19,14,1,0,semi-finals,69
34,2,7,17,14,3,2,third-place match,34
35,2,8,19,15,2,1,final,69
36,3,12,23,17,1,1,round of 16,52
37,3,13,24,10,3,3,round of 16,37
38,3,14,6,2,3,1,round of 16,51
39,3,15,18,25,6,0,round of 16,39
40,3,16,19,26,2,1,round of 16,40
41,3,17,4,27,6,5,round of 16,69
42,3,18,15,20,3,0,round of 16,50
43,3,13,24,10,2,1,round of 16,43
44,3,12,23,17,4,2,round of 16,69
45,3,19,4,15,1,1,quarter-finals,45
46,3,20,18,23,2,0,quarter-finals,46
47,3,14,19,6,3,1,quarter-finals,47
48,3,21,22,24,8,0,quarter-finals,48
49,3,19,4,15,2,1,quarter-finals,53
50,3,12,18,22,5,1,semi-finals,50
51,3,16,19,4,2,1,semi-finals,51
52,3,19,4,22,4,2,third-place match,52
53,3,14,19,18,4,2,final,53
54,4,22,4,7,4,0,group stage,75
55,4,23,13,23,3,0,group stage,73
56,4,22,28,5,2,0,group stage,74
57,4,24,21,11,3,1,group stage,80
58,4,25,22,19,3,2,group stage,58
59,4,25,4,23,2,2,group stage,59
60,4,26,13,7,4,1,group stage,131
61,4,22,21,5,2,0,group stage,61
62,4,23,11,28,1,0,group stage,62
63,4,24,22,8,2,2,group stage,63
64,4,22,4,13,2,0,group stage,133
65,4,27,5,11,5,2,group stage,65
66,4,22,21,28,1,0,group stage,73
67,4,25,19,8,2,0,group stage,119
68,4,23,12,3,8,0,group stage,75
69,4,26,23,7,2,1,group stage,69
70,4,22,4,22,7,1,final round,119
71,4,25,12,21,2,2,final round,133
72,4,22,4,21,6,1,final round,131
73,4,25,12,22,3,2,final round,73
74,4,25,22,21,3,1,final round,74
75,4,22,12,4,2,1,final round,75
76,5,28,4,7,5,0,group stage,132
77,5,29,13,6,1,0,group stage,133
78,5,30,14,29,1,0,group stage,78
79,5,31,12,15,2,0,group stage,119
80,5,29,23,19,2,1,group stage,80
81,5,30,18,30,9,0,group stage,92
