referee_id,referee_name
1,Domingo Lombardi
2,José Macías
3,Aníbal Tejada
4,Alberto Warnken
5,Gilberto de Almeida Rêgo
6,Henri Christophe
7,Francisco Mateucci
8,José Macías
9,John Langenus
10,Aníbal Tejada
11,Ulises Saucedo
12,Thomas Balvay
13,Ricardo Vallarino
14,Gilberto de Almeida Rêgo
15,John Langenus
16,John Langenus
17,Gilberto de Almeida Rêgo
18,John Langenus
19,Johannes van Moorsel
20,John Langenus
21,Francesco Mattea
22,Rinaldo Barlassina
23,René Mercet
24,Alfred Birlem
25,Eugen Braun
26,Ivan Eklind
27,Francesco Mattea
28,Alois Beranek
29,Rinaldo Barlassina
30,Louis Baert
31,René Mercet
32,Rinaldo Barlassina
33,Ivan Eklind
34,Albino Carraro
35,Ivan Eklind
36,John Langenus
37,Giuseppe Scarpi
38,Hans Wüthrich
39,Roger Conrié
40,Alois Beranek
41,Ivan Eklind
42,Lucien Leclerq
43,Alfred Birlem
44,Ivan Eklind
45,Pál von Hertzka
46,Rinaldo Barlassina
47,Louis Baert
48,Augustin Krist
49,Georges Capdeville
50,Lucien Leclerq
51,Hans Wüthrich
52,John Langenus
53,Georges Capdeville
54,George Reader
55,Giovanni Galeati
56,Karel van der Meer
57,Mário Vianna
58,Jean Lutz
59,Ramón Azón Romá
60,Reginald Leafe
61,Alberto Malcher
62,Generoso Dattilo
63,George Mitchell
64,Sandy Griffiths
65,Mário Gardelli
66,Giovanni Galeati
67,Arthur Edward Ellis
68,George Reader
69,Ivan Eklind
70,Arthur Edward Ellis
71,Sandy Griffiths
72,Reginald Leafe
73,Giovanni Galeati
74,Karel van der Meer
75,George Reader
76,Raymond Wyssling
77,Sandy Griffiths
78,Laurent Franken
79,Arthur Edward Ellis
80,Mário Vianna
81,Raymond Vincenti
82,Jose da Costa Vieira
83,Emil Schmetzer
84,Vincenzo Orlandini
85,Charlie Faultless
86,Vasa Stefanovic
87,Manuel Asensi
88,William Ling
89,Esteban Marino
90,Carl Erich Steiner
91,István Zsolt
92,Raymond Vincenti
93,Sandy Griffiths
94,Charlie Faultless
95,Carl Erich Steiner
96,Arthur Edward Ellis
97,István Zsolt
98,Sandy Griffiths
99,Vincenzo Orlandini
100,Raymond Wyssling
101,William Ling
102,Nikolai Levnikov
103,Reginald Leafe
104,Fritz Seipelt
105,Juan Garay Gardeazábal
106,Raymond Wyssling
107,José María Codesal
108,Maurice Guigue
109,István Zsolt
110,Sten Ahlner
111,Arthur Edward Ellis
112,Vincenzo Orlandini
113,Sandy Griffiths
114,Leo Lemesic
115,Albert Dusch
116,Carl Jørgensen
117,Jack Mowat
118,Lucien van Nuffel
119,Arthur Edward Ellis
120,Joaquim Campos
121,Juan Regis Brozzi
122,Martin Macko
123,Arne Eriksson
124,Maurice Guigue
125,Jan Bronkhorst
126,Maurice Guigue
127,Nikolai Levnikov
128,Albert Dusch
129,Fritz Seipelt
130,Juan Garay Gardeazábal
131,Reginald Leafe
132,Raymond Wyssling
133,Sandy Griffiths
134,István Zsolt
135,Juan Regis Brozzi
136,Maurice Guigue
137,Andor Dorogi
138,Kenneth Aston
139,Gottfried Dienst
140,Juan Garay Gardeazábal
141,Albert Dusch
142,Bobby Davidson
143,Carl Erich Steiner
144,Leo Horn
145,Karol Galba
146,Kenneth Aston
147,Pierre Schwinte
148,Nikolai Levnikov
149,João Etzel Filho
150,Leo Horn
151,Branko Tesanić
152,Juan Garay Gardeazábal
153,Cesare Jonni
154,Bobby Davidson
155,Sergio Bustamante
156,Arturo Yamasaki Maldonado
157,Carlos Robles
158,Nikolai Levnikov
159,Gottfried Dienst
160,Antoine Blavier
161,Pierre Schwinte
162,Leo Horn
163,Nikolai Levnikov
164,Arturo Yamasaki Maldonado
165,Arturo Yamasaki Maldonado
166,Gottfried Dienst
167,Juan Garay Gardeazábal
168,Nikolai Levnikov
169,István Zsolt
170,Hugh Phillips
171,Kurt Tschenscher
172,Juan Garay Gardeazábal
173,Menachem Ashkenazi
174,Dimitar Rumenchev
175,Leo Callaghan
176,Gottfried Dienst
177,Karol Galba
178,Tofiq Bahramov
179,Ken Dagnall
180,Ali Kandil
181,Konstantin Zečević
182,José María Codesal
183,Rudolf Kreitlein
184,Concetto Lo Bello
185,Bertil Lööw
186,Joaquim Campos
187,George McCabe
188,Pierre Schwinte
189,Arturo Yamasaki Maldonado
190,Armando Marques
191,Roberto Goicoechea
192,John Adair
193,Rudolf Kreitlein
194,Menachem Ashkenazi
195,Juan Garay Gardeazábal
196,Jim Finney
197,Concetto Lo Bello
198,Pierre Schwinte
199,Ken Dagnall
200,Gottfried Dienst
201,Kurt Tschenscher
202,Bobby Davidson
203,Vital Loraux
204,Antonio Sbardella
205,Andrei Rădulescu
206,Jack Taylor
207,Ramón Barreto Ruíz
208,Laurens van Ravens
209,Rudolf Scheurer
210,Rudi Glöckner
211,Diego De Leo
212,Tofiq Bahramov
213,Ali Kandil
214,Seyoum Tarekegn
215,Abraham Klein
216,José María Ortiz de Mendíbil
217,Rafael Hormazábal Díaz
