stadium_id,stadium_name,city
1,Estadio Pocitos,Montevideo
2,Estadio Gran Parque Central,Montevideo
3,Estadio Centenario,Montevideo
4,Stadio Benito Mussolini,Turin
5,Stadio Littorio,Trieste
6,Stadio Giovanni Berta,Florence
7,Stadio Giorgio Ascarelli,Naples
8,Stadio Nazionale PNF,Rome
9,Stadio Luigi Ferraris,Genoa
10,Stadio Renato Dall'Ara,Bologna
11,San Siro,Milan
12,Parc des Princes,Paris
13,Stade du T.O.E.C.,Toulouse
14,Stade Olympique de Colombes,Paris
15,Vélodrome Municipal,Reims
16,Stade Vélodrome,Marseille
17,Stade de la Meinau,Strasbourg
18,Stade Jules Deschaseaux,Le Havre
19,Stade du Parc Lescure,Bordeaux
20,Stade Victor Boucquey,Lille
21,Stade du Fort Carré,Antibes
22,Estádio do Maracanã,Rio de Janeiro
23,Estádio Independência,Belo Horizonte
24,Estádio Vila Capanema,Curitiba
25,Estádio do Pacaembu,São Paulo
26,Estádio dos Eucaliptos,Porto Alegre
27,Estádio Ilha do Retiro,Recife
28,Charmilles Stadium,Geneva
29,Stade Olympique de la Pontaise,Lausanne
30,Hardturm Stadium,Zürich
31,Wankdorf Stadium,Bern
32,St. Jakob Stadium,Basel
33,Cornaredo Stadium,Lugano
34,Råsunda Stadium,Solna
35,Malmö Stadion,Malmö
36,Örjans Vall,Halmstad
37,Idrottsparken,Norrköping
38,Arosvallen,Västerås
39,Jernvallen,Sandviken
40,Rimnersvallen,Uddevalla
41,Ullevi,Gothenburg
42,Olympia,Helsingborg
43,Ryavallen,Borås
44,Eyravallen,Örebro
45,Tunavallen,Eskilstuna
46,Estadio Carlos Dittborn,Arica
47,Estadio Nacional,Santiago
48,Estadio Sausalito,Viña del Mar
49,Estadio El Teniente,Rancagua
50,Wembley Stadium,London
51,Hillsborough Stadium,Sheffield
52,Goodison Park,Liverpool
53,Ayresome Park,Middlesbrough
54,Villa Park,Birmingham
55,Old Trafford,Manchester
56,Roker Park,Sunderland
57,White City Stadium,London
58,Estadio Azteca,Mexico City
59,Estadio Cuauhtémoc,Puebla
60,Estadio Jalisco,Guadalajara
61,Estadio Nou Camp,León
62,La Bombonera,Toluca
63,Waldstadion,Frankfurt
64,Olympiastadion,Berlin
65,Volksparkstadion,Hamburg
66,Westfalenstadion,Dortmund
67,Rheinstadion,Düsseldorf
68,Niedersachsenstadion,Hanover
69,Olympiastadion,Munich
70,Neckarstadion,Stuttgart
71,Parkstadion,Gelsenkirchen
72,Estadio Monumental,Buenos Aires
73,Estadio José María Minella,Mar del Plata
74,Estadio Gigante de Arroyito,Rosario
