team_id,team_name,fifa_code,continent
1,Argentina,ARG,South America
2,Belgium,BEL,Europe
3,Bolivia,BOL,South America
4,Brazil,BRA,South America
5,Chile,CHL,South America
6,France,FRA,Europe
7,Mexico,MEX,North America
8,Paraguay,PRY,South America
9,Peru,PER,South America
10,Romania,ROU,Europe
11,United States,USA,North America
12,Uruguay,URY,South America
13,Yugoslavia,YUG,Europe
14,Austria,AUT,Europe
15,Czechoslovakia,CSK,Europe
16,Egypt,EGY,Africa
17,Germany,DEU,Europe
18,Hungary,HUN,Europe
19,Italy,ITA,Europe
20,Netherlands,NLD,Europe
21,Spain,ESP,Europe
22,Sweden,SWE,Europe
23,Switzerland,CHE,Europe
24,Cuba,CUB,North America
25,Dutch East Indies,IDN,Asia
26,Norway,NOR,Europe
27,Poland,POL,Europe
28,England,ENG,Europe
29,Scotland,SCO,Europe
30,South Korea,KOR,Asia
31,Turkey,TUR,Asia
32,West Germany,DEU,Europe
33,Northern Ireland,NIR,Europe
34,Soviet Union,SUN,Europe
35,Wales,WAL,Europe
36,Bulgaria,BGR,Europe
37,Colombia,COL,South America
38,North Korea,PRK,Asia
39,Portugal,PRT,Europe
40,El Salvador,SLV,North America
41,Israel,ISR,Asia
42,Morocco,MAR,Africa
43,Australia,AUS,Oceania
44,East Germany,DDR,Europe
45,Haiti,HTI,North America
46,Zaire,COD,Africa
47,Iran,IRN,Asia
48,Tunisia,TUN,Africa
49,Algeria,DZA,Africa
50,Cameroon,CMR,Africa
51,Honduras,HND,North America
52,Kuwait,KWT,Asia
53,New Zealand,NZL,Oceania
54,Canada,CAN,North America
55,Denmark,DNK,Europe
56,Iraq,IRQ,Asia
57,Costa Rica,CRI,North America
58,Republic of Ireland,IRL,Europe
59,United Arab Emirates,ARE,Asia
60,Greece,GRC,Europe
61,Nigeria,NGA,Africa
62,Russia,RUS,Europe
63,Saudi Arabia,SAU,Asia
64,Croatia,HRV,Europe
65,Jamaica,JAM,North America
66,Japan,JPN,Asia
67,South Africa,ZAF,Africa
68,China,CHN,Asia
69,Ecuador,ECU,South America
70,Senegal,SEN,Africa
71,Slovenia,SVN,Europe
72,Angola,AGO,Africa
73,Czech Republic,CZE,Europe
74,Ghana,GHA,Africa
75,Ivory Coast,CIV,Africa
76,Serbia and Montenegro,SCG,Europe
77,Togo,TGO,Africa
78,Trinidad and Tobago,TTO,South America
79,Ukraine,UKR,Europe
80,Serbia,SRB,Europe
81,Slovakia,SVK,Europe
82,Bosnia and Herzegovina,BIH,Europe
83,Iceland,ISL,Europe
84,Panama,PAN,North America
85,Qatar,QAT,Asia
